,Text,NER
3276, 'szara2-mu-ba-ni-us2',PN
3277, 'ur-me-a-ni',PN
3278, 'ib2-ta-e3',PN
3279, 'ur-na-x',PN
3280, 'lu2-du-du',PN
3281, 'lu2-nig2-ki',PN
3282, 'x-ba-ni',PN
3283, '{d}amar-{d}suen-{d}lamma-mu',PN
3284, 'x-bi-isz',DN
3285, '{d}ba-ba6-ur-mu',PN
3286, '|PU3.SZA|-du-du',PN
3287, 'a2-na-asz-gi4',PN
3288, 'nu-ur2-e2-a',PN
3289, 'a-li-sza3-ge',PN
3290, 'a-mu-esz18-dar',PN
3291, 'ad-mu-a',PN
3292, 'da-ri2-sza',PN
3293, 'esz18-dar-ra-ni',PN
3294, 'sipa-iri-na',PN
3295, 'ki-...-nu-me-tar',PN
3296, '|PU3.SZA|',PN
3297, '|PU3.SZA|-isz-esz18-dar',PN
3298, 'mu-{d}ba-ba6-ke4-szu',PN
3299, 'nig2-gur11-{d}szara2',PN
3300, '{d}ba-ba6-iri-da',PN
3301, 'geme2-bara2',PN
3302, 'ma-at-dingir',PN
3303, 'AN-zi-gi4-na-na',PN
3304, 'bu3-ra2',PN
3305, 'KA-gu-na',PN
3306, 'hu-ti',GN
3307, 'inim-{d}en-lil2-la2',PN
3308, 'lugal-dingir',PN
3309, 'szu-kab-ta2',PN
3310, 'mar-PAP',PN
3311, '{d}szara2-a2-zi',PN
3312, 'sig7-tur',WN
3313, 'e2-gir-gi4-lu',FN
3314, 'dur2-ki-nig2-du10',PN
3315, 'lugal-{d}sag-x',PN
3316, '{d}nanna-sa6-ga',PN
3317, '{d}szul-gi-bi2-du-ri2',PN
3318, 'lu2-su-sin2{ki}',PN
3319, '{d}amar-{gesz}szu',PN
3320, 'geme2-{d}gesz',PN
3321, 'giri3-{d}ba-ba6-i3-tusz',PN
3322, 'nin-da-nir-szu',PN
3323, 'nin-ga2-ni-zi',PN
3324, 'nin-lu2-tar-ra-du7-du7',PN
3325, 'nin-zi-sza3',PN
3326, 'a-ba-nam-du-in',PN
3327, 'geme2-e2-sukud-ra2',PN
3328, 'geme2-x-balag',PN
3329, 'me-er3',PN
3330, '{d}lamma-di-de3',PN
3331, '{d}asznan-ama',PN
3332, '{d}ba-ba6-ama-mu',PN
3333, '{d}nin-eb-gal-ama',PN
3334, '{d}nin-lugal',DN
3335, 'e2-lu2-bi-su',PN
3336, 'nin9-banda3{da}',PN
3337, 'SZE3-{d}utu',PN
3338, 'ur-szu-x-masz',PN
3339, 'nin-nig2-tuku',PN
3340, 'geme2-u4-dub-sa-lu',PN
3341, 'pa4-pa4',PN
3342, 'ama-ku3-zu',PN
3343, 'ga2-a-ku-lu2-ru',PN
3344, 'geme2-ki-x-ka',PN
3345, 'geme2-numun-du10-ga',PN
3346, 'iri-sze3-kusz2',PN
3347, 'ku3-sa6-ga',PN
3348, 'lu2-{d}x-szu',PN
3349, 'lugal-ab-ba-mu',PN
3350, 'nin-a-tu5',PN
3351, 'nin-ensi2-iri-na',PN
3352, 'nin-te',PN
3353, 'ur-x-sug',PN
3354, '{d}amar-{d}suen-kalam-e-ba-sa6',PN
3355, 'a-ba-ne-gin7',PN
3356, 'ur-AB-x',PN
3357, 'su-szim',FN
3358, 'a-bi2-ba-ni',PN
3359, 'a-a-...',PN
3360, 'a-a-da-e-x',PN
3361, 'a-a-du-gal2',PN
3362, 'a-a-du10-ga',PN
3363, 'bi2-bi2',PN
3364, 'a-a-i3-li2-szu',PN
3365, 'a-a-ki-lu5-la',PN
3366, 'a-a-lal3',PN
3367, 'a-a-ni-szu',PN
3368, 'a-a-ri2-in',PN
3369, 'a-a-ti',PN
3370, 'a-ab-ba-kal-la',PN
3371, 'ur-{d}suen-na',PN
3372, 'ur-{d}suen-na-ke4-ne',PN
3373, 'a-ab-ba-si2-im-ti',PN
3374, 'a-ab-du10-ga',PN
3375, 'a-ab-gu-la',PN
3376, 'a-ab-x-mu',PN
3377, 'a-ad-da-kal-la',PN
3378, 'a-ad-da-mu',PN
3379, 'a-ad-du10-ga',PN
3380, 'a-al-la-mu',PN
3381, 'a-al-la',PN
3382, 'a-al-la-sza',PN
3383, 'a-asz7-da',GN
3384, 'a-ba-ba',PN
3385, 'a-ba-i3-da-e3',PN
3386, 'a-ba-nam-DU',PN
3387, 'a-ba-nam-DU-mu',PN
3388, 'a-ba-szu-luh-{d}inanna',PN
3389, 'ur-sag-kal-la',PN
3390, 'a-bi-ad-e-el',PN
3391, 'a-bi-sza-ru-um',PN
3392, 'a-bi2-a',PN
3393, 'a-bi2-a-ni',PN
3394, 'a-bi2-a-ti',PN
3395, 'a-bi2-nu-a',PN
3396, 'a-bi2-tum',PN
3397, 'sze-er-ha-num2-ma',PN
3398, 'a-bi2-x',PN
3399, 'a-bu-ab-ni',PN
3400, 'a-bu-bu',PN
3401, 'a-bu-da',PN
3402, 'a-bu-dingir',PN
3403, 'a-bu-du10-um',PN
3404, 'a-bu-HI',PN
3405, 'a-bu-mu',PN
3406, 'a-bu-um-dingir',PN
3407, 'a-da-tum',PN
3408, 'a-DU',PN
3409, 'a-gin7-ba-an-bi',PN
3410, 'a-gu2-gi',PN
3411, 'a-gub-ba',PN
3412, 'a-ha-ni-szu',PN
3413, 'a-hu-a-hi',PN
3414, 'a-hu-ba-a',PN
3415, 'a-hu-ba-ni',PN
3416, 'lugal-i3-sa3',PN
3417, 'A-hu-ni',PN
3418, 'a-hu-wa-qar',PN
3419, 'du10-ga',PN
3420, 'e2-an-ne2',PN
3421, 'inim-ma-...',PN
3422, 'ur-sa6-ga-mu',PN|FN
3423, 'ba-ad-da-ri2',PN
3424, 'a-gi4',PN
3425, 'a-ki-a',PN
3426, 'a-la-bi',PN
3427, 'a-la-hu-um',PN
3428, 'a-li-ih',PN
3429, 'a-li2-ah',PN
3430, 'a-li2-we-er',PN
3431, 'a-lu-lu',PN
3432, 'a-ma-at',PN
3433, 'a-mu-a',PN
3434, 'a-mur-dingir-lum',PN
3435, 'a-mur-e2-a',PN
3436, 'a-na-gu-gu',PN
3437, 'a-na-hi-li',PN
3438, 'a-pi-li2-a',PN
3439, 'a-pil-nu-a',PN
3440, 'a-ra2-ra2',PN
3441, 'ba-lu5-la',FN
3442, 'a-ti-ma-tum',PN
3443, 'ulu3-di',PN
3444, 'a-wi-lum-ma',PN
3445, 'a-x-x',PN
3446, 'nin9-e-mu',PN
3447, 'a-za-za',PN
3448, 'a-zi-ge',PN
3449, 'a2-bi2-i3-li2',PN
3450, 'a2-bi2-la-tum',PN
3451, 'a2-bi2-lum',PN
3452, 'ur-nigar{gar}-ka',PN
3453, 'a2-bi2-lum-ma',PN
3454, 'a2-da-da',PN
3455, 'a2-dingir',PN
3456, 'a2-dingir-ga2',PN
3457, 'e3-ri',PN
3458, 'aga3-us2-gal',PN
3459, 'a2-la-la',PN
3460, 'a2-la-mu',PN
3461, 'a2-na-mu',PN|FN
3462, 'lu2-gir2-su{ki}',PN
3463, 'a2-na-...',PN
3464, 'szu-ku-bu-um-ma',PN
3465, 'a2-si-du-du',PN
3466, 'a2-u2-sa6-sa6',PN
3467, 'a2-wi-lum-ma',PN
3468, 'a2-{d}nanna',PN
3469, 'ab-ba-a',PN
3470, 'ab-ba-AN',PN|FN
3471, 'ab-ba-e2',PN
3472, 'a-du-ba-bi',PN
3473, 'lugal-en-nun',PN
3474, 'ab-ba-sila-na',PN
3475, 'ab-ba-sukkal-gal',PN
3476, 'ab-ba-tur',PN
3477, 'ab-ba-x-x',PN
3478, 'lu2-ur-sag-pa-e3',PN
3479, 'ab-ba-kal-la-asz',PN
3480, 'lu2-{d}nin-hur-sag',PN
3481, 'ur-sa6-sag10',PN
3482, 'szu-{d}x',PN
3483, 'er3-si-AN',PN
3484, '{d}gesztin-an-na',DN
3485, '{d}suen-ugula',PN
3486, 'it-ra-ak-i3-li2',PN
3487, 'szar-ru-um-i3-li2',PN
3488, 'szu-{d}esz18-dar',PN
3489, 'ku3-{d}nin-gal',PN
3490, 'ba-an-KA-a',PN
3491, '...-bi',PN
3492, 'i7-eb-la{ki}',WN
3493, 'an-nu-ni-tum',PN
3494, 'ur-{d}ba-ba6-ka',RN
3495, 'ku-ba-tum',PN
3496, 'szuruppak{ki}',GN
3497, 'HAR-da-hi{ki}',GN
3498, '{d}nin-lil2-he2-em-ti',PN
3499, '{d}utu-GIR2@g-gal',PN
3500, 'e2-me-lam2',PN
3501, 'ad-da-kal-la-a',PN
3502, 'ad-inim-gi-na',PN
3503, 'ad-...',PN
3504, 'ad6-ge6-mu',PN
3505, 'al-ba-an-ni-du11',PN
3506, 'al-la-di-de3',PN
3507, 'al-la-kam',PN
3508, 'al-la-ke4-sa6-ga',PN
3509, 'al-la-la',PN
3510, 'al-la-szar-ru-um',PN
3511, 'dingir-su2-lagab-me-tur',PN
3512, 'ama-dingir',PN
3513, 'er2-du8-a-ka',PN
3514, 'ama-ga2-na-na',PN
3515, 'sza3-zu',DN
3516, 'ama-ki-im',PN
3517, 'ama-lal3-ab-ba',PN
3518, 'ama-muru2',PN
3519, 'ama-nig2-gur',PN
3520, 'ama-ra-ki-ag2',PN
3521, 'ni-SAR',PN
3522, 'bu-sza-am',PN
3523, 'a2-bi2-la-sza',PN
3524, 'ba-ni-a',PN
3525, 'ba-NI-a',PN
3526, 'bu-bu',PN
3527, 'e2-a-i3-li2',PN
3528, 'er3-e2-ninnu',PN
3529, 'ha-ab-ru-sza',PN
3530, 'i-szar-{d}szul-gi',PN
3531, 'i3-lal3-lum',PN
3532, 'ku-u3',PN
3533, 'me-{d}isztaran',PN
3534, 'gir13-tab{ki}',GN
3535, 'er11-ra-nu-id',PN
3536, 'i-bi2-{d}isztaran',PN
3537, 'za-ak-li-li',PN
3538, '{d}szul-gi-a-bi',PN
3539, '{d}szul-gi-na-da',PN
3540, 'hu-un-{d}szul-gi',PN
3541, '{d}en-lil2-i-zu',PN
3542, 'a-na-ab-e2-a',PN
3543, 'zu-la-la',PN
3544, 'pa2-pa2-an-sze-en',PN
3545, 'sza3-ta-sa6-ga',PN
3546, 'szar-ru-um-ba-ni',PN
3547, 'ta2-din-esz18-dar',PN
3548, 'te-la-a',PN
3549, 'te-te',PN
3550, 'tu-li2-id-{d}utu',PN
3551, 'ur-tilla5',PN
3552, 'ur-LAGAB',PN
3553, 'dumu-lu2',PN
3554, 'amar-{d}da-ni',PN
3555, 'ur-{d}nin-gir2-su{ki}',PN
3556, 'AN-a-zu',PN
3557, 'AN-bu3-zi',PN
3558, 'an-du-gu',PN
3559, 'AN-en-nu',PN
3560, 'an-kar2-i3-sa6',PN
3561, 'an-ki-bi',PN
3562, 'AN-MIR-USZ',PN
3563, 'an-na-bi2-kusz2',PN
3564, 'igi-du',PN
3565, 'an-na-he-gal2',PN
3566, 'an-na-NE-x',PN
3567, 'an-ne2-ba-ab-du7',PN
3568, 'an-ne2-kusz2',PN
3569, 'an-ni',PN
3570, 'an-ni-na-dan',PN
3571, 'lu2-nin-ga2',PN
3572, 'eridu{ki}',GN
3573, 'szul-gi',RN
3574, 'eridu',GN
3575, 'ar3-dam-i3-li2',PN
3576, 'ARAD2-{d}EN-x',PN
3577, 'ARAD2-du10',PN
3578, 'ARAD2-er3',PN
3579, 'ARAD2',PN
3580, 'ARAD2-x',PN
3581, 'ma-szum',PN
3582, 'ARAD2-{d}suen',PN
3583, 'a-ba-sze3-du-ni',PN
3584, 'inim-gi-na',PN
3585, 'lugal-banda3{da}',PN
3586, 'lugal-{d}nin-gir2-su',PN
3587, 'asz-da-ga',PN
3588, 'asz2-nun-na{ki}',GN
3589, 'a-na-ah-i3-li2',PN
3590, 'ki-in-{d}szul-gi',PN
3591, 'ki-...',PN
3592, 'szu-e2-a',PN
3593, 'HAR',DN
3594, 'sza-lu',PN
3595, 'ha-ar-szi{ki}',GN
3596, 'ba-al-i3-li2',PN
3597, 'ba-al-li2',PN
3598, 'ba-an-x',PN
3599, 'ba-an-zi',GN
3600, 'ba-da-ga',PN
3601, 'ba-ga-ga',PN
3602, 'ba-ga-ri2',PN
3603, 'ba-ga-tum',PN
3604, 'ba-gu-gu',PN
3605, 'ba-ka-ka',PN
3606, 'ba-la-a',PN
3607, 'ba-li',PN
3608, 'ba-ta-e11-de3',PN
3609, 'BAD-...',PN
3610, 'ha-zi',PN
3611, 'bar-ra-AN',PN|FN
3612, 'be-dingir-la-ri2-ik',PN
3613, 'be-li2-a',PN
3614, 'be-li2-a-zu',PN
3615, 'be-li2-ma',PN
3616, 'be-li2-ur-sag',PN
3617, 'be-li2-...',PN
3618, 'bi2-du10-ga',PN
3619, 'bi2-du11-sa6-ga',PN
3620, 'bi2-ga',PN
3621, 'bi2-la-la',PN
3622, 'bu-ga',PN
3623, 'bu-ga-a',PN
3624, 'bu-KA',PN
3625, 'bu-lu-lu',PN
3626, 'bu-u2-du',PN
3627, 'bu-zu-zu',PN
3628, 'bu3-u2-du',PN
3629, 'bu3-du',PN
3630, 'bu3-lu5-mu',PN
3631, 'bur-ma-ma',PN
3632, 'bur-ma-a',PN
3633, 'buru5{muszen}-tur',PN
3634, 'ur-masz',PN
3635, 'da-a-da',PN
3636, 'da-a-ga-mu',PN
3637, 'da-a-mu',PN
3638, 'da-a-ti',PN
3639, 'da-da-an-ne2',PN
3640, 'da-da-mu',PN
3641, 'da-dingir-lum',PN
3642, 'da-ga-a',PN
3643, 'da-gi',PN
3644, 'da-gi-...',PN
3645, 'da-gi4-mu',PN
3646, 'da-gu-sa6',PN
3647, 'da-lu5',PN
3648, 'da-tum-pi2-dingir',PN
3649, 'da-zi',PN
3650, 'dah-...',PN
3651, 'i-szar-{d}a-szar2',PN
3652, 'igi-gun3',PN
3653, 'ka-u2-um',PN
3654, 'lu2-lal3',PN
3655, 'me-luh-ha',PN
3656, '|PU3.SZA|-{d}szul-gi',PN
3657, 'di-ku5-i3-li2',PN
3658, 'di-ta-nu-sar',PN
3659, 'lu2-{gesz}tukul',PN
3660, 'dingir-szu-e-er',PN
3661, 'dingir-ba-ni',PN
3662, 'ezem-SAR',FN
3663, 'dingir-ga2-bi2-du11',PN
3664, 'dingir-i3-zu',PN
3665, 'dingir-igi-sze3-du',PN
3666, 'dingir-ik-sur2',PN
3667, 'dingir-inim-si-sa2',PN
3668, 'dingir-KA-si-sa2',PN
3669, 'dingir-KAL',PN
3670, 'dingir-la-bi',PN
3671, 'dingir-mi-ti',PN
3672, 'dingir-mu-dah',PN
3673, 'dingir-szu:e-er',PN
3674, 'dingir-ta-lu2',PN
3675, 'dingir-x-x',PN
3676, 'du-du-gu-la',PN
3677, 'du-lum-i3-du10',PN
3678, 'du-u2-du',PN
3679, 'du10-{d}ba-ba6',PN
3680, 'du11-ge-du7',PN
3681, 'du3-u2-u2',PN
3682, 'du6-ur2',TN
3683, 'egi-zi-mah',PN
3684, 'ama-gar-ra',PN
3685, 'er3-...',PN
3686, 'ur-{d}en-gal-du-du',PN
3687, 'in-mu-na-si',PN
3688, 'ur-{gesz}tukul',PN
3689, 'nin-hur-sag',DN
3690, 'e-du-a',PN
3691, 'ur-{d}namma',RN
3692, 'lu2-gi-na-ab-tum-ka',PN
3693, 'nin-zi-an-ka',PN
3694, 'i-di3-dingir',PN
3695, '{d}lamma-ra-i3-sa6',PN
3696, 'e2-a-dan',PN
3697, 'e2-anzu2{muszen}',PN
3698, 'e2-ba-ra-um-ma',PN
3699, 'e2-da',GN
3700, 'e2-hi-li-a-i3-du3',PN
3701, 'e2-hi-li-i3-li2',PN
3702, 'e2-hi-x',PN
3703, 'e2-iri-ki-bi',PN
3704, 'e2-kalam',PN
3705, 'e2-me-te',PN
3706, 'e2-pu2-mi',PN
3707, 'e2-sze3-igi-zu',PN
3708, '{d}ak-{d}suen',DN
3709, 'lu2-si4',PN
3710, 'eb-la2',PN
3711, 'amar-du3-a',PN
3712, 'en-du-lum',PN
3713, 'en-in-na-kal',PN
3714, 'en-kusz2-na4-ur5-gul',PN
3715, 'en-nam-i3-li2',PN
3716, 'ku-za-a',PN
3717, 'en-nam-szita-{d}szul-gi-ra-ke4-ba-gub',PN
3718, 'en-ne2-ma-ad',PN
3719, 'en-ni2-{d}nin-lil2',PN
3720, 'en-si',PN
3721, 'en-um-e2-a',PN
3722, 'e-sag',PN|FN
3723, 'engar-du10',PN
3724, 'amar-ka{ki}',GN
3725, 'er3-e-eb',PN
3726, 'er3-GAN-gir2-su{ki}',GN
3727, 'er3-mu',PN
3728, 'er3-ra-dan',PN
3729, 'er3-ra-dim2',PN
3730, 'er3-ra-ga-szi-ir',PN
3731, 'er3-ra-nu-id',PN
3732, 'er3-re-szum',PN
3733, 'esz-me-{d}suen',PN
3734, 'esz18-dar-i3-li2',PN
3735, 'esz18-dar-la-ba',PN
3736, 'ma-du3',PN
3737, 'nig2-x-...',PN
3738, 'esz3-e-ki-ag2',PN
3739, 'dumu-lugal',FN
3740, 'esz3-ta-szu-a',PN
3741, 'ga-a-ga-ma',PN
3742, 'ga-x-...',PN
3743, 'ga2-kam',PN
3744, 'iri-kur-kas4',PN
3745, '{d}nin-ga2-tum3-du10',PN
3746, '{d}pa-bil-sag',DN
3747, 'be6-be6-eb',PN
3748, 'du3-us2',PN
3749, '|KI.KAL|',GN
3750, '{d}nin-lil2-la2',DN
3751, 'gal-zu-lu-lu',PN
3752, 'ki-sa2-la',PN
3753, 'GALAM-ra-ni-sa6',PN
3754, 'ge6-par3-e-he2-du7',PN
3755, 'ib2-tur3{ki}',GN
3756, 'in-sa6-sa6',PN
3757, 'ur-{d}nam2-nun-ka',PN
3758, 'geme2-a-tu5-a',PN
3759, 'geme2-dim4-ku3-ga',PN
3760, 'geme2-dumu-ni',PN
3761, 'geme2-ga2-da',PN
3762, 'geme2-gi-gun4-na',PN
3763, 'geme2-gu3-de2-a',PN
3764, 'geme2-gurdub2-a',PN
3765, 'geme2-i7-edin-na',PN
3766, 'geme2-igi-zu',PN
3767, 'geme2-ki-sal4-la',PN
3768, 'geme2-nin-lu2-MIN-ma',PN
3769, 'geme2-nin-sze3-gal2-la',PN
3770, 'geme2-sila-luh',PN
3771, 'nin-mu-ma-ag2',PN
3772, 'geme2-ti-ra-asz2',PN
3773, 'geme2-usz-mu',PN
3774, 'geme2-{d}dumu-zi-da-sze',PN
3775, 'geme2-{d}gesz-bar-e3',PN
3776, 'geme2-{d}szara2-bi',PN
3777, 'u4-da-ga',PN
3778, 'ur-ab-zu',PN
3779, 'da-ak-szi-um',PN
3780, 'za-dur-sza3-kal',PN
3781, 'lu2-lu2',PN
3782, 'lugal-mas-su',PN
3783, 'isin2{si}-na{ki}',GN
3784, 'giri3-du3-a',PN
3785, 'gi4-na-tum',PN
3786, 'na-ba-lu2',PN
3787, '{d}isztaran',DN
3788, 'a-szi-AN',PN
3789, 'x-u-gu4-x',FN
3790, 'AN-KA-DU',PN
3791, 'a-bu-zu-ni',PN
3792, 'ur-{d}szara2-ka-x',PN
3793, 'bu3-u2-nu-um',PN
3794, 'gin2-ta',PN
3795, 'la-ni-mu',PN
3796, 'ama-gal-{d}gesztin-an-na',PN
3797, 'lugal-za-e3',PN
3798, '{d}am3-ma',DN
3799, '{d}lah3-hu-du10-nun',PN
3800, '{d}lugal-gi',DN
3801, '{d}lugal-...',DN
3802, '{d}pa5-u2',DN
3803, 'en-u2-szim',PN
3804, 'gir2-nun-ne2',GN
3805, 'giri3-ni-i3-dab5',PN
3806, 'giri3-dingir-ga2-i3-dab5',PN
3807, 'giri3-ne2',PN
3808, 'iri-bar',PN
3809, 'giri3-zi',PN
3810, 'gissu-{d}ba-ba6-i3-du10',PN
3811, 'gu-da-da-a',PN
3812, 'gu-ga-na',PN
3813, 'gu-u2',PN
3814, 'gu-u2-mu',PN
3815, 'i-szar-i3-li2',PN
3816, 'szu-PAP-PAP',PN
3817, 'szu-{d}nu-musz-da',PN
3818, 'x-bi',DN
3819, 'gu2-pu2',PN
3820, 'lugal-HAR-ma',PN
3821, 'za-la-KA',PN
3822, '{d}nin-ku3-nun-na',DN
3823, '{d}nin-ezem',DN
3824, 'ur-{d}nin-pirig',PN
3825, 'a-a-dingir-mu',PN
3826, 'a-mi-ir-dingir',PN
3827, 'a-na-ha',PN
3828, 'a-tu-ma-ma',PN
3829, 'u3-lu2-{d}utu',FN
3830, '{d}en-lil2-la2-ia3-sa6',PN
3831, 'wa-ta2-ru-um',PN
3832, 'da-ba{ki}',GN
3833, 'a-hu-ni-im',PN
3834, 'a2-bi2-la-a',PN
3835, 'pu-us2{ki}',GN
3836, 'ma-num2-ki-{d}szul-gi',PN
3837, 'dingir-su-ra-bi2{ki}',GN
3838, '{d}al-la-tum-ma',DN
3839, 'e2-kur-ra-hi-li-bi',PN
3840, 'e2-{d}nin-ur4',PN
3841, 'er3-ra-ur-sag',PN
3842, 'er3-ra-AN',PN
3843, 'ba-a-bi2{ki}',GN
3844, 'tab-la-la{ki}',GN
3845, 'u2-ra-e{ki}',GN
3846, 'nam-x-x',PN
3847, 'lugal-si4',FN
3848, 'ab-gu',PN
3849, 'zi-ga-am3',PN
3850, 'lu2-lum-ma',PN
3851, 'ur-ge6',PN
3852, '{d}szara2-ga2',PN
3853, 'lugal-masz-da3',PN
3854, 'lugal-{d}inanna',PN
3855, 'a-ab-ba-bi',PN
3856, 'lu2-sa6-ga-bi',PN
3857, 'lu2-{d}nin-gir16-da',PN
3858, 'dingir-a-mu',PN
3859, 'ur-{d}szul-gi-na-ra-am-{d}suen',PN
3860, 'giri3-da-a',PN
3861, 'ur-{gesz}x',PN
3862, 'giri3-sa6-sa6',PN
3863, 'ha-ad-ha-ad',PN
3864, 'ha-DU',PN
3865, 'i-di3-er3',PN
3866, 'i-di3-zu-mu',PN
3867, 'ba',PN
3868, 'a-ba-bi2-dim2',PN
3869, 'kuara2{ki}',GN
3870, 'a-ti-da',PN
3871, 'du-ug',PN
3872, 'en-dingir-mu',PN
3873, 'a-pi2-ak{ki}',GN
3874, 'i-zu-a-ri-ik',PN
3875, 'na-wi-ir-dingir',PN
3876, '{d}gilgamesx(|BIL3.GA.MES|)',DN
3877, 'i-ti-e2-a',PN
3878, 'un-da-ga',PN
3879, 'ur-ki-mes',PN
3880, 'ur-{d}nin-sa-za',PN
3881, '{d}nansze-GIR2@g-gal',PN
3882, 'en-{d}nanna',PN
3883, 'a-AN-ba-az',PN
3884, 'bi-ze2-ze2',PN
3885, 'kal-la-mu',PN
3886, 'kalam-sa6-ga',PN
3887, 'ur-e2-gi4-a',PN
3888, 'ur-ku3-bu-ga',PN
3889, '{d}en-lil2-la2-i3-sa6',PN
3890, '{d}szul-gi-AB-GAB',PN
3891, 'ku-da-num2',PN
3892, 'la-la',PN
3893, 'ma-ri2{ki}',GN
3894, 'lugal-ukken-ne2',PN
3895, 'nin-lil2',PN
3896, 'ni-mu-du',PN
3897, 'amar-ma-an',PN
3898, 'ir3-ra',PN
3899, 'mu-gal-e3',PN
3900, 'na-ap-la-num2',PN
3901, 'na-lu5',PN
3902, 'na-ra-am-e2-a',PN
3903, 'ir-ha-an',GN
3904, 'ti-ra-an{ki}',GN
3905, 'i-mi-id2-dingir',PN
3906, 'i-pi2-iq-dingir',PN
3907, 'za-ri2-iq',PN
3908, '{d}al-la-tum',DN
3909, 'szu-bi2-isz-hu-ha',PN
3910, 'hur-sag-ga-lam-ma',GN
3911, '{d}nusku',DN
3912, '{d}en-me-{d}szara2',PN
3913, 'a-ri2-bi-um{ki}',GN
3914, 'bar-ba-na-zu{ki}',GN
3915, 'gu-ma-ra-szi{ki}',GN
3916, 'ha-bu-ra{ki}',GN
3917, 'ia3-ab-ra-ad{ki}',GN
3918, 'szi-szi-il{ki}',GN
3919, 'ur2-sza-an{ki}',GN
3920, 'ti-sza-{d}da-gan',PN
3921, 'zu-ri-im',PN
3922, 'eb-la{ki}',GN
3923, '{d}nin-ti2-ug5-ga',PN
3924, 'a-ab-ba-ni',PN
3925, 'a2-ge6-ba-a',PN
3926, 'x-ga2',DN
3927, 'da-ti-esz18-dar',PN
3928, 'du-uk',PN
3929, 'gu2-du8-a{ki}',GN
3930, 'ha-szi-pa2-tal',PN
3931, 'i-ku-num2',PN
3932, 'in-da-a',PN
3933, 'ur-kisz{ki}',GN
3934, 'ki-ma',GN
3935, 'ki-{d}suen',PN
3936, 'er3-ra-ba-dan',PN
3937, 'ur-szu-mah',PN
3938, 'ku-ku',PN
3939, 'szi-ik-ri2-szum{ki}',GN
3940, 'li-bur-i3-li2',PN
3941, 'dal-ha-at{ki}',GN
3942, 'ha-hu-um{ki}',GN
3943, 'tu-tu{ki}',GN
3944, 'lugal-banda3',PN
3945, 'pu-szu-ki-in',PN
3946, 'ti-sza-{d}da-hi',PN
3947, 'ur-tilla3',PN
3948, 'asz-szur5{ki}',GN
3949, '{d}da-gan',DN
3950, '{d}isz-ha',DN
3951, '{d}lugal-banda3',DN
3952, '{d}lugal-banda3{da}',PN
3953, '{d}lugal-gu4-si-su',PN
3954, '{d}na-na-a',DN
3955, 'mu-ri-na-ba',PN
3956, '{d}nin-gal-nun-na-an-dul3',PN
3957, '{d}nin-hur-sag-ga2',DN
3958, '{d}nin-im-ma',DN
3959, '{d}szu-{d}suen-ki-ag2-{d}nanna',PN
3960, '{d}szu-{d}suen-ki-ag2-{d}nin-sun2',PN
3961, '{d}szul-gi-si2-im-ti',PN
3962, '{d}ul-ma-szi-tum',DN
3963, '{d}ga2-tum3',DN
3964, 'esz2-masz-szesz',PN
3965, 'gu4-KU',PN
3966, 'ur-gu-x',PN
3967, 'ab-ba-gi',PN
3968, 'lugal-sipa',PN
3969, 'nig2-bi-x',PN
3970, 'lu2-kal-ga',PN
3971, 'ur-{d}x-x-x',PN
3972, 'unu{ki}-ga',GN
3973, 'sza3-ba-na-gar',PN
3974, '{d}ir-da',PN
3975, 'sze-le-bu-um',PN
3976, 'sze-li-ib',PN
3977, 'szesz-ga2-gi4-na',PN
3978, 'szi-nu-nu-tum',PN
3979, 'ul-luh-uri5{ki}',GN
3980, 'szu-ku8-bu-um',PN
3981, 'ta2-hi-sze-en',PN
3982, '{d}asar-lu2-hi',DN
3983, '{d}nin-dam-an-na',PN
3984, '{d}nin-im-ma-...',PN
3985, 'ur2-ra-dingir',PN
3986, 'ur2-{d}szul-gi-sa6-DU-ma',PN
3987, 'a-a-szu',PN
3988, 'ma-sza-tum{ki}',GN
3989, '{d}e11',PN
3990, '{d}eb-gal',PN
3991, '{d}nanna-ma-ba',PN
3992, '{d}nin-pu2-mah',PN
3993, '{d}pa-bil2-sag(KA)',DN
3994, '|PU3.SZA|-{d}en-lil2',PN
3995, 'gu4-gesz',PN
3996, 'sag-ub3{ki}',GN|FN
3997, 'e2-GIR3',GN
3998, 'ur-sag-pa-e3',PN|FN
3999, '{d}nin-gesz-sza3-ga',PN
4000, '{d}nin-{gesz}x-ga',DN
4001, 'a-ha-szu-um',PN
4002, 'i-bi-la-i3-lum',PN
4003, 'al-ba-nu',PN
4004, 'esz18-dar-um-mi-a',PN
4005, 'na-ra-am-{d}suen',RN
4006, 'li-bur-si2-im-ti',PN
4007, 'an-ki',PN
4008, 'ur2-x',PN
4009, 'szu-ha-ia3',PN
4010, 'EN',PN
4011, 'sza-at-er3',PN
4012, 'me-{d}nanna',PN
4013, 'sag-mah',PN
4014, 'ga2-nun-na',GN
4015, 'i-din-{d}da-gan',PN
4016, 'igi-zu-bar',PN
4017, 'zabala4{ki}',GN
4018, 'ib-ni-dingir',PN
4019, 'szu-{d}dumu-zi',PN
4020, 'AB-...',GN
4021, 'hal-li2-a',PN
4022, 'i3-li2-...',PN
4023, '|PU3.SZA|-a-bi',PN
4024, 'gurusz-{d}amar-{d}suen',PN
4025, 'ha-ab-ru',PN
4026, 'ha-ba-ad',PN
4027, 'ha-ba-at',PN
